month,dln_cpi,dln_gengi,dln_eu_ppi,cum_brent,cum_cpi,cum_gengi,cum_eu_ppi,shock_pct,duration,shock_label
3,0.0015967310559598016,0.006947914254556396,-0.002389713153787225,0,0.5301967574154355,2.2109682835182762,0.733997507215492,50,2 months,+50%
4,0.0015647351330934298,-0.012260569834840009,-0.0019152932691642287,0,0.6866702707247785,0.9849113000342755,0.5424681802990691,50,2 months,+50%
5,-0.0019299286077687303,-0.004094694204857445,-0.001338655264734756,0,0.4936774099479054,0.575441879548531,0.4086026538255935,50,2 months,+50%
6,-6.002867865002013e-4,0.0017799888156933002,-8.198182117415264e-4,0,0.4336487312978853,0.7534407611178611,0.3266208326514408,50,2 months,+50%
7,-6.154069725589515e-4,-0.0010837368196126773,-8.531809926581327e-4,0,0.3721080340419901,0.6450670791565933,0.24130273338562758,50,2 months,+50%
8,-6.003561670990644e-4,-9.24391379505742e-4,-6.554922909751794e-4,0,0.3120724173320837,0.5526279412060191,0.17575350428810965,50,2 months,+50%
9,-2.9970228653940657e-4,5.533759966302176e-4,-4.4057614616356024e-4,0,0.282102188678143,0.6079655408690409,0.1316958896717536,50,2 months,+50%
10,-2.9460504616115376e-4,-3.785113077484081e-5,-4.282664719176782e-4,0,0.25264168406202764,0.6041804277915568,0.08886924247998579,50,2 months,+50%
11,-2.3936412841751734e-4,-3.3532844328339976e-4,-3.3183635087112237e-4,0,0.2287052712202759,0.5706475834632168,0.05568560739287355,50,2 months,+50%
12,-1.641720947930421e-4,-1.980945483243679e-4,-2.3746817677841418e-4,0,0.21228806174097167,0.55083812863078,0.03193878971503213,50,2 months,+50%
0,0.0019918204997279474,-1.2659191500385449e-4,0.012689792161481656,40.546510810816436,0.19918204997279473,-0.012659191500385449,1.2689792161481657,50,3 months,+50%
1,0.0025909139559468887,8.040285884028664e-4,0.005567296869648975,40.546510810816436,0.4582734455674836,0.0677436673399012,1.825708903113063,50,3 months,+50%
